UniqueId, ModId, RegistryName, LocalizedName(if exist)
133, minecraft, minecraft:mutated_taiga, minecraft:mutated_taiga
134, minecraft, minecraft:mutated_swampland, minecraft:mutated_swampland
140, minecraft, minecraft:mutated_ice_flats, minecraft:mutated_ice_flats
149, minecraft, minecraft:mutated_jungle, minecraft:mutated_jungle
151, minecraft, minecraft:mutated_jungle_edge, minecraft:mutated_jungle_edge
155, minecraft, minecraft:mutated_birch_forest, minecraft:mutated_birch_forest
156, minecraft, minecraft:mutated_birch_forest_hills, minecraft:mutated_birch_forest_hills
157, minecraft, minecraft:mutated_roofed_forest, minecraft:mutated_roofed_forest
158, minecraft, minecraft:mutated_taiga_cold, minecraft:mutated_taiga_cold
160, minecraft, minecraft:mutated_redwood_taiga, minecraft:mutated_redwood_taiga
161, minecraft, minecraft:mutated_redwood_taiga_hills, minecraft:mutated_redwood_taiga_hills
162, minecraft, minecraft:mutated_extreme_hills_with_trees, minecraft:mutated_extreme_hills_with_trees
163, minecraft, minecraft:mutated_savanna, minecraft:mutated_savanna
164, minecraft, minecraft:mutated_savanna_rock, minecraft:mutated_savanna_rock
165, minecraft, minecraft:mutated_mesa, minecraft:mutated_mesa
166, minecraft, minecraft:mutated_mesa_rock, minecraft:mutated_mesa_rock
167, minecraft, minecraft:mutated_mesa_clear_rock, minecraft:mutated_mesa_clear_rock
#output time is 4 ms.
