LocalizedName, BlockState
草, minecraft:tallgrass[type=tall_grass]
蕨, minecraft:tallgrass[type=fern]
枯死的灌木, minecraft:deadbush
活塞, minecraft:piston[extended=false,facing=down]
白色羊毛, minecraft:wool[color=white]
橙色羊毛, minecraft:wool[color=orange]
品红色羊毛, minecraft:wool[color=magenta]
淡蓝色羊毛, minecraft:wool[color=light_blue]
黄色羊毛, minecraft:wool[color=yellow]
黄绿色羊毛, minecraft:wool[color=lime]
粉红色羊毛, minecraft:wool[color=pink]
灰色羊毛, minecraft:wool[color=gray]
淡灰色羊毛, minecraft:wool[color=silver]
青色羊毛, minecraft:wool[color=cyan]
紫色羊毛, minecraft:wool[color=purple]
蓝色羊毛, minecraft:wool[color=blue]
棕色羊毛, minecraft:wool[color=brown]
绿色羊毛, minecraft:wool[color=green]
红色羊毛, minecraft:wool[color=red]
黑色羊毛, minecraft:wool[color=black]
蒲公英, minecraft:yellow_flower[type=dandelion]
虞美人, minecraft:red_flower[type=poppy]
兰花, minecraft:red_flower[type=blue_orchid]
绒球葱, minecraft:red_flower[type=allium]
茜草花, minecraft:red_flower[type=houstonia]
红色郁金香, minecraft:red_flower[type=red_tulip]
橙色郁金香, minecraft:red_flower[type=orange_tulip]
白色郁金香, minecraft:red_flower[type=white_tulip]
粉红色郁金香, minecraft:red_flower[type=pink_tulip]
滨菊, minecraft:red_flower[type=oxeye_daisy]
蘑菇, minecraft:brown_mushroom
蘑菇, minecraft:red_mushroom
金块, minecraft:gold_block
铁块, minecraft:iron_block
石台阶, minecraft:stone_slab[half=bottom,variant=stone]
砂岩台阶, minecraft:stone_slab[half=bottom,variant=sandstone]
圆石台阶, minecraft:stone_slab[half=bottom,variant=cobblestone]
砖台阶, minecraft:stone_slab[half=bottom,variant=brick]
石砖台阶, minecraft:stone_slab[half=bottom,variant=stone_brick]
地狱砖台阶, minecraft:stone_slab[half=bottom,variant=nether_brick]
石英台阶, minecraft:stone_slab[half=bottom,variant=quartz]
砖块, minecraft:brick_block
TNT, minecraft:tnt[explode=false]
书架, minecraft:bookshelf
苔石, minecraft:mossy_cobblestone
黑曜石, minecraft:obsidian
火把, minecraft:torch[facing=up]
橡木楼梯, minecraft:oak_stairs[facing=east,half=bottom,shape=straight]
箱子, minecraft:chest[facing=north]
钻石矿石, minecraft:diamond_ore
钻石块, minecraft:diamond_block
工作台, minecraft:crafting_table
熔炉, minecraft:furnace[facing=north]
梯子, minecraft:ladder[facing=north]
铁轨, minecraft:rail[shape=north_south]
圆石楼梯, minecraft:stone_stairs[facing=east,half=bottom,shape=straight]
拉杆, minecraft:lever[facing=down_x,powered=false]
石质压力板, minecraft:stone_pressure_plate[powered=false]
木质压力板, minecraft:wooden_pressure_plate[powered=false]
红石矿石, minecraft:redstone_ore
红石火把, minecraft:redstone_torch[facing=up]
按钮, minecraft:stone_button[facing=down,powered=false]
雪, minecraft:snow_layer[layers=1]
冰, minecraft:ice
雪, minecraft:snow
仙人掌, minecraft:cactus[age=0]
粘土块, minecraft:clay
唱片机, minecraft:jukebox[has_record=false]
橡木栅栏, minecraft:fence[east=false,north=false,south=false,west=false]
南瓜, minecraft:pumpkin[facing=south]
地狱岩, minecraft:netherrack
灵魂沙, minecraft:soul_sand
荧石, minecraft:glowstone
南瓜灯, minecraft:lit_pumpkin[facing=south]
白色染色玻璃, minecraft:stained_glass[color=white]
橙色染色玻璃, minecraft:stained_glass[color=orange]
品红色染色玻璃, minecraft:stained_glass[color=magenta]
淡蓝色染色玻璃, minecraft:stained_glass[color=light_blue]
黄色染色玻璃, minecraft:stained_glass[color=yellow]
黄绿色染色玻璃, minecraft:stained_glass[color=lime]
粉红色染色玻璃, minecraft:stained_glass[color=pink]
灰色染色玻璃, minecraft:stained_glass[color=gray]
淡灰色染色玻璃, minecraft:stained_glass[color=silver]
青色染色玻璃, minecraft:stained_glass[color=cyan]
紫色染色玻璃, minecraft:stained_glass[color=purple]
蓝色染色玻璃, minecraft:stained_glass[color=blue]
棕色染色玻璃, minecraft:stained_glass[color=brown]
绿色染色玻璃, minecraft:stained_glass[color=green]
红色染色玻璃, minecraft:stained_glass[color=red]
黑色染色玻璃, minecraft:stained_glass[color=black]
活板门, minecraft:trapdoor[facing=north,half=bottom,open=false]
石头怪物蛋, minecraft:monster_egg[variant=stone]
圆石怪物蛋, minecraft:monster_egg[variant=cobblestone]
石砖怪物蛋, minecraft:monster_egg[variant=stone_brick]
苔石砖怪物蛋, minecraft:monster_egg[variant=mossy_brick]
裂石砖怪物蛋, minecraft:monster_egg[variant=cracked_brick]
錾制石砖怪物蛋, minecraft:monster_egg[variant=chiseled_brick]
石砖, minecraft:stonebrick[variant=stonebrick]
苔石砖, minecraft:stonebrick[variant=mossy_stonebrick]
裂石砖, minecraft:stonebrick[variant=cracked_stonebrick]
錾制石砖, minecraft:stonebrick[variant=chiseled_stonebrick]
铁栏杆, minecraft:iron_bars[east=false,north=false,south=false,west=false]
玻璃板, minecraft:glass_pane[east=false,north=false,south=false,west=false]
西瓜, minecraft:melon_block
藤蔓, minecraft:vine[east=false,north=false,south=false,up=false,west=false]
橡木栅栏门, minecraft:fence_gate[facing=south,in_wall=false,open=false,powered=false]
砖楼梯, minecraft:brick_stairs[facing=east,half=bottom,shape=straight]
石砖楼梯, minecraft:stone_brick_stairs[facing=east,half=bottom,shape=straight]
菌丝, minecraft:mycelium[snowy=false]
睡莲, minecraft:waterlily
地狱砖, minecraft:nether_brick
地狱砖栅栏, minecraft:nether_brick_fence[east=false,north=false,south=false,west=false]
地狱砖楼梯, minecraft:nether_brick_stairs[facing=east,half=bottom,shape=straight]
附魔台, minecraft:enchanting_table
末地传送门, minecraft:end_portal_frame[eye=false,facing=south]
末地石, minecraft:end_stone
红石灯, minecraft:redstone_lamp
橡木台阶, minecraft:wooden_slab[half=bottom,variant=oak]
云杉木台阶, minecraft:wooden_slab[half=bottom,variant=spruce]
桦木台阶, minecraft:wooden_slab[half=bottom,variant=birch]
丛林木台阶, minecraft:wooden_slab[half=bottom,variant=jungle]
金合欢木台阶, minecraft:wooden_slab[half=bottom,variant=acacia]
深色橡木台阶, minecraft:wooden_slab[half=bottom,variant=dark_oak]
砂岩楼梯, minecraft:sandstone_stairs[facing=east,half=bottom,shape=straight]
绿宝石矿石, minecraft:emerald_ore
末影箱, minecraft:ender_chest[facing=north]
绊线钩, minecraft:tripwire_hook[attached=false,facing=south,powered=false]
绿宝石块, minecraft:emerald_block
云杉木楼梯, minecraft:spruce_stairs[facing=east,half=bottom,shape=straight]
桦木楼梯, minecraft:birch_stairs[facing=east,half=bottom,shape=straight]
丛林木楼梯, minecraft:jungle_stairs[facing=east,half=bottom,shape=straight]
信标, minecraft:beacon
圆石墙, minecraft:cobblestone_wall[east=false,north=false,south=false,up=false,variant=cobblestone,west=false]
苔石墙, minecraft:cobblestone_wall[east=false,north=false,south=false,up=false,variant=mossy_cobblestone,west=false]
按钮, minecraft:wooden_button[facing=down,powered=false]
铁砧, minecraft:anvil[damage=0,facing=south]
轻微损坏的铁砧, minecraft:anvil[damage=0,facing=west]
严重损坏的铁砧, minecraft:anvil[damage=0,facing=north]
陷阱箱, minecraft:trapped_chest[facing=north]
测重压力板（轻质）, minecraft:light_weighted_pressure_plate[power=0]
测重压力板（重质）, minecraft:heavy_weighted_pressure_plate[power=0]
阳光传感器, minecraft:daylight_detector[power=0]
红石块, minecraft:redstone_block
下界石英矿石, minecraft:quartz_ore
漏斗, minecraft:hopper[enabled=true,facing=down]
石英块, minecraft:quartz_block[variant=default]
錾制石英块, minecraft:quartz_block[variant=chiseled]
竖纹石英块, minecraft:quartz_block[variant=lines_y]
石英楼梯, minecraft:quartz_stairs[facing=east,half=bottom,shape=straight]
激活铁轨, minecraft:activator_rail[powered=false,shape=north_south]
投掷器, minecraft:dropper[facing=down,triggered=false]
白色陶瓦, minecraft:stained_hardened_clay[color=white]
橙色陶瓦, minecraft:stained_hardened_clay[color=orange]
品红色陶瓦, minecraft:stained_hardened_clay[color=magenta]
淡蓝色陶瓦, minecraft:stained_hardened_clay[color=light_blue]
黄色陶瓦, minecraft:stained_hardened_clay[color=yellow]
黄绿色陶瓦, minecraft:stained_hardened_clay[color=lime]
粉红色陶瓦, minecraft:stained_hardened_clay[color=pink]
灰色陶瓦, minecraft:stained_hardened_clay[color=gray]
淡灰色陶瓦, minecraft:stained_hardened_clay[color=silver]
青色陶瓦, minecraft:stained_hardened_clay[color=cyan]
紫色陶瓦, minecraft:stained_hardened_clay[color=purple]
蓝色陶瓦, minecraft:stained_hardened_clay[color=blue]
棕色陶瓦, minecraft:stained_hardened_clay[color=brown]
绿色陶瓦, minecraft:stained_hardened_clay[color=green]
红色陶瓦, minecraft:stained_hardened_clay[color=red]
黑色陶瓦, minecraft:stained_hardened_clay[color=black]
白色染色玻璃板, minecraft:stained_glass_pane[color=white,east=false,north=false,south=false,west=false]
橙色染色玻璃板, minecraft:stained_glass_pane[color=orange,east=false,north=false,south=false,west=false]
品红色染色玻璃板, minecraft:stained_glass_pane[color=magenta,east=false,north=false,south=false,west=false]
淡蓝色染色玻璃板, minecraft:stained_glass_pane[color=light_blue,east=false,north=false,south=false,west=false]
黄色染色玻璃板, minecraft:stained_glass_pane[color=yellow,east=false,north=false,south=false,west=false]
黄绿色染色玻璃板, minecraft:stained_glass_pane[color=lime,east=false,north=false,south=false,west=false]
粉红色染色玻璃板, minecraft:stained_glass_pane[color=pink,east=false,north=false,south=false,west=false]
灰色染色玻璃板, minecraft:stained_glass_pane[color=gray,east=false,north=false,south=false,west=false]
淡灰色染色玻璃板, minecraft:stained_glass_pane[color=silver,east=false,north=false,south=false,west=false]
青色染色玻璃板, minecraft:stained_glass_pane[color=cyan,east=false,north=false,south=false,west=false]
紫色染色玻璃板, minecraft:stained_glass_pane[color=purple,east=false,north=false,south=false,west=false]
蓝色染色玻璃板, minecraft:stained_glass_pane[color=blue,east=false,north=false,south=false,west=false]
棕色染色玻璃板, minecraft:stained_glass_pane[color=brown,east=false,north=false,south=false,west=false]
绿色染色玻璃板, minecraft:stained_glass_pane[color=green,east=false,north=false,south=false,west=false]
红色染色玻璃板, minecraft:stained_glass_pane[color=red,east=false,north=false,south=false,west=false]
黑色染色玻璃板, minecraft:stained_glass_pane[color=black,east=false,north=false,south=false,west=false]
金合欢树叶, minecraft:leaves2[check_decay=false,decayable=true,variant=acacia]
深色橡树树叶, minecraft:leaves2[check_decay=false,decayable=true,variant=dark_oak]
金合欢木, minecraft:log2[axis=y,variant=acacia]
深色橡木, minecraft:log2[axis=y,variant=dark_oak]
金合欢木楼梯, minecraft:acacia_stairs[facing=east,half=bottom,shape=straight]
深色橡木楼梯, minecraft:dark_oak_stairs[facing=east,half=bottom,shape=straight]
粘液块, minecraft:slime
铁活板门, minecraft:iron_trapdoor[facing=north,half=bottom,open=false]
海晶石, minecraft:prismarine[variant=prismarine]
海晶石砖, minecraft:prismarine[variant=prismarine_bricks]
暗海晶石, minecraft:prismarine[variant=dark_prismarine]
海晶灯, minecraft:sea_lantern
干草块, minecraft:hay_block[axis=y]
白色地毯, minecraft:carpet[color=white]
橙色地毯, minecraft:carpet[color=orange]
品红色地毯, minecraft:carpet[color=magenta]
淡蓝色地毯, minecraft:carpet[color=light_blue]
黄色地毯, minecraft:carpet[color=yellow]
黄绿色地毯, minecraft:carpet[color=lime]
粉红色地毯, minecraft:carpet[color=pink]
灰色地毯, minecraft:carpet[color=gray]
淡灰色地毯, minecraft:carpet[color=silver]
青色地毯, minecraft:carpet[color=cyan]
紫色地毯, minecraft:carpet[color=purple]
蓝色地毯, minecraft:carpet[color=blue]
棕色地毯, minecraft:carpet[color=brown]
绿色地毯, minecraft:carpet[color=green]
红色地毯, minecraft:carpet[color=red]
黑色地毯, minecraft:carpet[color=black]
陶瓦, minecraft:hardened_clay
煤炭块, minecraft:coal_block
浮冰, minecraft:packed_ice
向日葵, minecraft:double_plant[facing=north,half=lower,variant=sunflower]
丁香, minecraft:double_plant[facing=north,half=lower,variant=syringa]
高草丛, minecraft:double_plant[facing=north,half=lower,variant=double_grass]
大型蕨, minecraft:double_plant[facing=north,half=lower,variant=double_fern]
玫瑰丛, minecraft:double_plant[facing=north,half=lower,variant=double_rose]
牡丹, minecraft:double_plant[facing=north,half=lower,variant=paeonia]
红砂岩, minecraft:red_sandstone[type=red_sandstone]
錾制红砂岩, minecraft:red_sandstone[type=chiseled_red_sandstone]
平滑红砂岩, minecraft:red_sandstone[type=smooth_red_sandstone]
红砂岩楼梯, minecraft:red_sandstone_stairs[facing=east,half=bottom,shape=straight]
红砂岩台阶, minecraft:stone_slab2[half=bottom,variant=red_sandstone]
云杉木栅栏门, minecraft:spruce_fence_gate[facing=south,in_wall=false,open=false,powered=false]
白桦木栅栏门, minecraft:birch_fence_gate[facing=south,in_wall=false,open=false,powered=false]
丛林木栅栏门, minecraft:jungle_fence_gate[facing=south,in_wall=false,open=false,powered=false]
深色橡木栅栏门, minecraft:dark_oak_fence_gate[facing=south,in_wall=false,open=false,powered=false]
金合欢栅栏门, minecraft:acacia_fence_gate[facing=south,in_wall=false,open=false,powered=false]
云杉木栅栏, minecraft:spruce_fence[east=false,north=false,south=false,west=false]
白桦木栅栏, minecraft:birch_fence[east=false,north=false,south=false,west=false]
丛林木栅栏, minecraft:jungle_fence[east=false,north=false,south=false,west=false]
深色橡木栅栏, minecraft:dark_oak_fence[east=false,north=false,south=false,west=false]
金合欢栅栏, minecraft:acacia_fence[east=false,north=false,south=false,west=false]
末地烛, minecraft:end_rod[facing=down]
紫颂植物, minecraft:chorus_plant[down=false,east=false,north=false,south=false,up=false,west=false]
紫颂花, minecraft:chorus_flower[age=0]
紫珀块, minecraft:purpur_block
竖纹紫珀块, minecraft:purpur_pillar[axis=y]
紫珀楼梯, minecraft:purpur_stairs[facing=east,half=bottom,shape=straight]
紫珀台阶, minecraft:purpur_slab[half=bottom,variant=default]
末地石砖, minecraft:end_bricks
岩浆块, minecraft:magma
地狱疣块, minecraft:nether_wart_block
红色地狱砖, minecraft:red_nether_brick
骨块, minecraft:bone_block[axis=y]
侦测器, minecraft:observer[facing=down,powered=false]
白色潜影盒, minecraft:white_shulker_box[facing=down]
橙色潜影盒, minecraft:orange_shulker_box[facing=down]
品红色潜影盒, minecraft:magenta_shulker_box[facing=down]
淡蓝色潜影盒, minecraft:light_blue_shulker_box[facing=down]
黄色潜影盒, minecraft:yellow_shulker_box[facing=down]
黄绿色潜影盒, minecraft:lime_shulker_box[facing=down]
粉红色潜影盒, minecraft:pink_shulker_box[facing=down]
灰色潜影盒, minecraft:gray_shulker_box[facing=down]
淡灰色潜影盒, minecraft:silver_shulker_box[facing=down]
青色潜影盒, minecraft:cyan_shulker_box[facing=down]
紫色潜影盒, minecraft:purple_shulker_box[facing=down]
蓝色潜影盒, minecraft:blue_shulker_box[facing=down]
棕色潜影盒, minecraft:brown_shulker_box[facing=down]
绿色潜影盒, minecraft:green_shulker_box[facing=down]
红色潜影盒, minecraft:red_shulker_box[facing=down]
黑色潜影盒, minecraft:black_shulker_box[facing=down]
白色带釉陶瓦, minecraft:white_glazed_terracotta[facing=south]
橙色带釉陶瓦, minecraft:orange_glazed_terracotta[facing=south]
品红色带釉陶瓦, minecraft:magenta_glazed_terracotta[facing=south]
淡蓝色带釉陶瓦, minecraft:light_blue_glazed_terracotta[facing=south]
黄色带釉陶瓦, minecraft:yellow_glazed_terracotta[facing=south]
黄绿色带釉陶瓦, minecraft:lime_glazed_terracotta[facing=south]
粉红色带釉陶瓦, minecraft:pink_glazed_terracotta[facing=south]
灰色带釉陶瓦, minecraft:gray_glazed_terracotta[facing=south]
淡灰色带釉陶瓦, minecraft:silver_glazed_terracotta[facing=south]
青色带釉陶瓦, minecraft:cyan_glazed_terracotta[facing=south]
紫色带釉陶瓦, minecraft:purple_glazed_terracotta[facing=south]
蓝色带釉陶瓦, minecraft:blue_glazed_terracotta[facing=south]
棕色带釉陶瓦, minecraft:brown_glazed_terracotta[facing=south]
绿色带釉陶瓦, minecraft:green_glazed_terracotta[facing=south]
红色带釉陶瓦, minecraft:red_glazed_terracotta[facing=south]
黑色带釉陶瓦, minecraft:black_glazed_terracotta[facing=south]
白色混凝土, minecraft:concrete[color=white]
橙色混凝土, minecraft:concrete[color=orange]
品红色混凝土, minecraft:concrete[color=magenta]
淡蓝色混凝土, minecraft:concrete[color=light_blue]
黄色混凝土, minecraft:concrete[color=yellow]
黄绿色混凝土, minecraft:concrete[color=lime]
粉红色混凝土, minecraft:concrete[color=pink]
灰色混凝土, minecraft:concrete[color=gray]
淡灰色混凝土, minecraft:concrete[color=silver]
青色混凝土, minecraft:concrete[color=cyan]
紫色混凝土, minecraft:concrete[color=purple]
蓝色混凝土, minecraft:concrete[color=blue]
棕色混凝土, minecraft:concrete[color=brown]
绿色混凝土, minecraft:concrete[color=green]
红色混凝土, minecraft:concrete[color=red]
黑色混凝土, minecraft:concrete[color=black]
白色混凝土粉末, minecraft:concrete_powder[color=white]
橙色混凝土粉末, minecraft:concrete_powder[color=orange]
品红色混凝土粉末, minecraft:concrete_powder[color=magenta]
淡蓝色混凝土粉末, minecraft:concrete_powder[color=light_blue]
黄色混凝土粉末, minecraft:concrete_powder[color=yellow]
黄绿色混凝土粉末, minecraft:concrete_powder[color=lime]
粉红色混凝土粉末, minecraft:concrete_powder[color=pink]
灰色混凝土粉末, minecraft:concrete_powder[color=gray]
淡灰色混凝土粉末, minecraft:concrete_powder[color=silver]
青色混凝土粉末, minecraft:concrete_powder[color=cyan]
紫色混凝土粉末, minecraft:concrete_powder[color=purple]
蓝色混凝土粉末, minecraft:concrete_powder[color=blue]
棕色混凝土粉末, minecraft:concrete_powder[color=brown]
绿色混凝土粉末, minecraft:concrete_powder[color=green]
红色混凝土粉末, minecraft:concrete_powder[color=red]
黑色混凝土粉末, minecraft:concrete_powder[color=black]
白色旗帜, minecraft:standing_banner[rotation=15]
橙色旗帜, minecraft:standing_banner[rotation=14]
品红色旗帜, minecraft:standing_banner[rotation=13]
淡蓝色旗帜, minecraft:standing_banner[rotation=12]
黄色旗帜, minecraft:standing_banner[rotation=11]
黄绿色旗帜, minecraft:standing_banner[rotation=10]
粉红色旗帜, minecraft:standing_banner[rotation=9]
灰色旗帜, minecraft:standing_banner[rotation=8]
淡灰色旗帜, minecraft:standing_banner[rotation=7]
青色旗帜, minecraft:standing_banner[rotation=6]
紫色旗帜, minecraft:standing_banner[rotation=5]
蓝色旗帜, minecraft:standing_banner[rotation=4]
棕色旗帜, minecraft:standing_banner[rotation=3]
绿色旗帜, minecraft:standing_banner[rotation=2]
红色旗帜, minecraft:standing_banner[rotation=1]
黑色旗帜, minecraft:standing_banner[rotation=0]
干草堆, animania:block_straw[variant=straw]
盐舔, animania:salt_lick
污泥, animania:block_mud
食槽, animania:block_trough[facing=south]
鸡窝, animania:block_nest
Pet Bowl, animania:pet_bowl
Cat Bed, animania:cat_bed_1[facing=north]
Cat Bed, animania:cat_bed_2[facing=north]
Cat Tower, animania:cat_tower[facing=north]
Dog House, animania:dog_house[facing=north]
Dog Pillow, animania:dog_pillow[facing=north]
Litter Box, animania:litter_box[facing=north]
仓鼠飞轮, animania:block_hamster_wheel[facing=north]
奶酪块（黑白花牛）, animania:cheese_friesian[bites=0]
奶酪块（荷斯坦牛）, animania:cheese_holstein[bites=0]
奶酪块（娟珊牛）, animania:cheese_jersey[bites=0]
奶酪块（山羊）, animania:cheese_goat[bites=0]
奶酪块（羊）, animania:cheese_sheep[bites=0]
奶酪压模, animania:cheese_mold[variant=empty]
羊毛（杜泊绵羊，棕色）, animania:wool[variant=dorset_brown]
羊毛（黑白花羊，黑色）, animania:wool[variant=friesian_black]
羊毛（黑白花羊，棕色）, animania:wool[variant=friesian_brown]
羊毛（雅各布羊）, animania:wool[variant=jacob]
羊毛（美利奴羊，棕色）, animania:wool[variant=merino_brown]
羊毛（美利奴羊，白色）, animania:wool[variant=merino_white]
羊毛（萨福特，棕色）, animania:wool[variant=suffolk_brown]
自制蜂巢, animania:block_hive[facing=north]
野生蜂巢, animania:block_wild_hive[facing=north]
眼球块, betternether:block_eyeball
小眼球块, betternether:block_eyeball_small
眼蕨芽, betternether:eye_seed
下界苔藓, betternether:netherrack_moss
下界草, betternether:nether_grass
下界芦苇, betternether:nether_reed[shape=top]
石笋, betternether:stalagnate_stem
石笋芽, betternether:stalagnate_seed
石笋皮, betternether:stalagnate_bark[axis=y]
石笋板, betternether:stalagnate_planks
石笋楼梯, betternether:stalagnate_planks_stairs[facing=east,half=bottom,shape=straight]
石笋台阶, betternether:stalagnate_planks_slab_half[half=top]
石笋栅栏, betternether:stalagnate_planks_fence[east=false,north=false,south=false,west=false]
石笋栅栏门, betternether:stalagnate_planks_gate[facing=south,in_wall=false,open=false,powered=false]
石笋按钮, betternether:stalagnate_planks_button[facing=down,powered=false]
石笋压力板, betternether:stalagnate_planks_plate[powered=false]
芦苇块, betternether:reeds_block[axis=y]
芦苇楼梯, betternether:reeds_stairs[facing=east,half=bottom,shape=straight]
芦苇台阶, betternether:reeds_slab_half[half=top]
芦苇栅栏, betternether:reeds_fence[east=false,north=false,south=false,west=false]
芦苇栅栏门, betternether:reeds_gate[facing=south,in_wall=false,open=false,powered=false]
芦苇按钮, betternether:reeds_button[facing=down,powered=false]
芦苇压力板, betternether:reeds_plate[powered=false]
卢西孢子, betternether:lucis_spore[facing=north]
下界仙人掌, betternether:nether_cactus[shape=top]
地狱疣芽, betternether:wart_seed[facing=down]
桶型仙人掌, betternether:barrel_cactus
龙舌兰, betternether:agave
黑色灌木丛, betternether:black_bush
墨色灌木丛芽, betternether:ink_bush_seed
烟口, betternether:smoker[shape=top]
茄子花, betternether:egg_plant
黑苹果芽, betternether:black_apple_seed
熔岩花芽, betternether:magma_flower[size=0]
下界菌丝体, betternether:nether_mycelium
奥尔类脐菇, betternether:orange_mushroom[size=0]
红色菌群, betternether:red_mold
灰色菌群, betternether:gray_mold
辛西纳石矿, betternether:cincinnasite_ore
辛西纳石块, betternether:cincinnasite_block
锻造辛西纳石块, betternether:cincinnasite_forged
辛西纳石柱, betternether:cincinnasite_pillar[shape=small]
辛西纳石砖, betternether:cincinnasite_bricks
辛西纳石砖板, betternether:cincinnasite_brick_plate
辛西纳石楼梯, betternether:cincinnasite_stairs[facing=east,half=bottom,shape=straight]
辛西纳石台阶, betternether:cincinnasite_slab_half[half=top]
辛西纳石按钮, betternether:cincinnasite_button[facing=down,powered=false]
辛西纳石压力板, betternether:cincinnasite_plate[power=0]
辛西纳石灯笼, betternether:cincinnasite_lantern
大辛西纳石顶瓦, betternether:cincinnasite_tile_large
小辛西纳石顶瓦, betternether:cincinnasite_tile_small
雕文辛西纳石块, betternether:cincinnasite_carved
大地狱砖顶瓦, betternether:nether_brick_tile_large
小地狱砖顶瓦, betternether:nether_brick_tile_small
辛西纳石墙, betternether:cincinnasite_wall[east=false,north=false,south=false,up=false,west=false]
压缩骨块, betternether:bone_block
骨楼梯, betternether:bone_stairs[facing=east,half=bottom,shape=straight]
骨台阶, betternether:bone_slab_half[half=top]
骨按钮, betternether:bone_button[facing=down,powered=false]
骨压力板, betternether:bone_plate[powered=false]
辛西纳石火盆, betternether:cincinnasite_fire_bowl[state=false]
骨墙, betternether:bone_wall[east=false,north=false,south=false,up=false,west=false]
地狱砖墙, betternether:nether_brick_wall[east=false,north=false,south=false,up=false,west=false]
小地狱砖半瓦, betternether:nether_brick_tile_slab_half[half=top]
小地狱砖阶梯瓦, betternether:nether_brick_tile_stairs[facing=east,half=bottom,shape=straight]
骨菇孢子, betternether:bone_mushroom[age=0,facing=up]
芦苇梯子, betternether:reeds_ladder[facing=north]
辛西纳石砖柱, betternether:cincinnasite_bricks_pillar[axis=y]
骨顶瓦, betternether:bone_tile
辛西纳石座, betternether:cincinnasite_pedestal
重生者雕塑, betternether:pig_statue_01[facing=north]
辛西纳石罐, betternether:cincinnasite_pot
辛西纳石框, betternether:cincinnasite_frame
石英玻璃, betternether:quartz_glass
镶框石英玻璃, betternether:quartz_glass_framed
白色石英玻璃, betternether:quartz_stained_glass[color=white]
橙色石英玻璃, betternether:quartz_stained_glass[color=orange]
品红色石英玻璃, betternether:quartz_stained_glass[color=magenta]
淡蓝色石英玻璃, betternether:quartz_stained_glass[color=light_blue]
黄色石英玻璃, betternether:quartz_stained_glass[color=yellow]
黄绿色石英玻璃, betternether:quartz_stained_glass[color=lime]
粉红色石英玻璃, betternether:quartz_stained_glass[color=pink]
灰色石英玻璃, betternether:quartz_stained_glass[color=gray]
银色石英玻璃, betternether:quartz_stained_glass[color=silver]
青色石英玻璃, betternether:quartz_stained_glass[color=cyan]
紫色石英玻璃, betternether:quartz_stained_glass[color=purple]
蓝色石英玻璃, betternether:quartz_stained_glass[color=blue]
棕色石英玻璃, betternether:quartz_stained_glass[color=brown]
绿色石英玻璃, betternether:quartz_stained_glass[color=green]
红色石英玻璃, betternether:quartz_stained_glass[color=red]
黑色石英玻璃, betternether:quartz_stained_glass[color=black]
辛西纳石杆, betternether:cincinnasite_bars[east=false,north=false,south=false,west=false]
石英玻璃窗, betternether:quartz_glass_pane[east=false,north=false,south=false,west=false]
