ProfessionName, CareerName, TradeInfo
animania:pet_seller,pet_merchant,Emerald:15,25->Item:animania:entity_egg_queen_asiatic
animania:pet_seller,pet_merchant,Emerald:22,37->Item:animania:entity_egg_kitten_asiatic
animania:pet_seller,pet_merchant,Emerald:15,25->Item:animania:entity_egg_tom_tabby
animania:pet_seller,pet_merchant,Emerald:15,25->Item:animania:entity_egg_queen_tabby
animania:pet_seller,pet_merchant,Emerald:22,37->Item:animania:entity_egg_kitten_tabby
animania:pet_seller,pet_merchant,Emerald:20,30->Item:animania:entity_egg_male_chihuahua
animania:pet_seller,pet_merchant,Emerald:20,30->Item:animania:entity_egg_female_chihuahua
animania:pet_seller,pet_merchant,Emerald:30,45->Item:animania:entity_egg_puppy_chihuahua
animania:pet_seller,pet_merchant,Emerald:10,20->Item:animania:entity_egg_male_dachshund
animania:pet_seller,pet_merchant,Emerald:10,20->Item:animania:entity_egg_female_dachshund
animania:pet_seller,pet_merchant,Emerald:15,30->Item:animania:entity_egg_puppy_dachshund
animania:pet_seller,pet_merchant,Emerald:20,30->Item:animania:entity_egg_male_greyhound
animania:pet_seller,pet_merchant,Emerald:20,30->Item:animania:entity_egg_female_greyhound
animania:pet_seller,pet_merchant,Emerald:30,45->Item:animania:entity_egg_puppy_greyhound
animania:pet_seller,pet_merchant,Emerald:15,25->Item:animania:entity_egg_male_pomeranian
animania:pet_seller,pet_merchant,Emerald:15,25->Item:animania:entity_egg_female_pomeranian
animania:pet_seller,pet_merchant,Emerald:22,37->Item:animania:entity_egg_puppy_pomeranian
animania:pet_seller,pet_merchant,Emerald:10,20->Item:animania:entity_egg_tom_norwegian
animania:pet_seller,pet_merchant,Emerald:10,20->Item:animania:entity_egg_queen_norwegian
animania:pet_seller,pet_merchant,Emerald:15,30->Item:animania:entity_egg_kitten_norwegian
animania:pet_seller,pet_merchant,Emerald:15,25->Item:animania:entity_egg_tom_exotic
animania:pet_seller,pet_merchant,Emerald:15,25->Item:animania:entity_egg_queen_exotic
animania:pet_seller,pet_merchant,Emerald:22,37->Item:animania:entity_egg_kitten_exotic
animania:pet_seller,pet_merchant,Emerald:25,35->Item:animania:entity_egg_tom_siamese
animania:pet_seller,pet_merchant,Emerald:25,35->Item:animania:entity_egg_queen_siamese
animania:pet_seller,pet_merchant,Emerald:37,52->Item:animania:entity_egg_kitten_siamese
animania:pet_seller,pet_merchant,Emerald:20,30->Item:animania:entity_egg_male_collie
animania:pet_seller,pet_merchant,Emerald:20,30->Item:animania:entity_egg_female_collie
animania:pet_seller,pet_merchant,Emerald:30,45->Item:animania:entity_egg_puppy_collie
animania:pet_seller,pet_merchant,Emerald:20,30->Item:animania:entity_egg_male_german_shepherd
animania:pet_seller,pet_merchant,Emerald:20,30->Item:animania:entity_egg_female_german_shepherd
animania:pet_seller,pet_merchant,Emerald:30,45->Item:animania:entity_egg_puppy_german_shepherd
animania:pet_seller,pet_merchant,Emerald:20,25->Item:animania:entity_egg_male_husky
animania:pet_seller,pet_merchant,Emerald:20,25->Item:animania:entity_egg_female_husky
animania:pet_seller,pet_merchant,Emerald:30,37->Item:animania:entity_egg_puppy_husky
animania:pet_seller,pet_merchant,Emerald:15,25->Item:animania:entity_egg_male_poodle
animania:pet_seller,pet_merchant,Emerald:15,25->Item:animania:entity_egg_female_poodle
animania:pet_seller,pet_merchant,Emerald:22,37->Item:animania:entity_egg_puppy_poodle
#output time is 6 ms.
