RegistryName, UnlocalizedName, LocalizedName(if exist)
abyssalcraft:shadowmonster, entity.abyssalcraft.shadowmonster.name, 阴影怪物
abyssalcraft:dreadling, entity.abyssalcraft.dreadling.name, 惧魔
abyssalcraft:dreadspawn, entity.abyssalcraft.dreadspawn.name, 恐惧卵
abyssalcraft:demonpig, entity.abyssalcraft.demonpig.name, 恶魔猪
abyssalcraft:gskeleton, entity.abyssalcraft.gskeleton.name, 骷髅哥利亚
abyssalcraft:chagarothspawn, entity.abyssalcraft.chagarothspawn.name, 查伽洛斯之卵
abyssalcraft:chagarothfist, entity.abyssalcraft.chagarothfist.name, 查伽洛斯之拳
abyssalcraft:chagaroth, entity.abyssalcraft.chagaroth.name, 恐惧野兽查伽洛斯
abyssalcraft:shadowbeast, entity.abyssalcraft.shadowbeast.name, 阴影野兽
abyssalcraft:shadowboss, entity.abyssalcraft.shadowboss.name, 末日先驱萨托斯
abyssalcraft:antiabyssalzombie, entity.abyssalcraft.antiabyssalzombie.name, 反物质深渊僵尸
abyssalcraft:antibat, entity.abyssalcraft.antibat.name, 反物质蝙蝠
abyssalcraft:antichicken, entity.abyssalcraft.antichicken.name, 反物质鸡
abyssalcraft:anticow, entity.abyssalcraft.anticow.name, 反物质牛
abyssalcraft:anticreeper, entity.abyssalcraft.anticreeper.name, 反物质爬行者
abyssalcraft:antighoul, entity.abyssalcraft.antighoul.name, 反物质食尸鬼
abyssalcraft:antipig, entity.abyssalcraft.antipig.name, 反物质猪
abyssalcraft:antiplayer, entity.abyssalcraft.antiplayer.name, 反物质玩家
abyssalcraft:antiskeleton, entity.abyssalcraft.antiskeleton.name, 反物质骷髅
abyssalcraft:antispider, entity.abyssalcraft.antispider.name, 反物质蜘蛛
abyssalcraft:antizombie, entity.abyssalcraft.antizombie.name, 反物质僵尸
abyssalcraft:remnant, entity.abyssalcraft.remnant.name, 残存者
abyssalcraft:omotholghoul, entity.abyssalcraft.omotholghoul.name, 奥穆索食尸鬼
abyssalcraft:coraliumarrow, entity.CoraliumArrow.name, entity.CoraliumArrow.name
abyssalcraft:jzaharminion, entity.abyssalcraft.jzaharminion.name, 守门者仆从
abyssalcraft:greaterdreadspawn, entity.abyssalcraft.greaterdreadspawn.name, 大型恐惧卵
abyssalcraft:lesserdreadbeast, entity.abyssalcraft.lesserdreadbeast.name, 小型恐惧野兽
abyssalcraft:dreadslug, entity.DreadSlug.name, entity.DreadSlug.name
abyssalcraft:lessershoggoth, entity.abyssalcraft.lessershoggoth.name, 小型修格斯
abyssalcraft:evilcow, entity.abyssalcraft.evilcow.name, 牛
abyssalcraft:evilchicken, entity.abyssalcraft.evilchicken.name, 鸡
abyssalcraft:demoncow, entity.abyssalcraft.demoncow.name, 恶魔牛
abyssalcraft:demonchicken, entity.abyssalcraft.demonchicken.name, 恶魔鸡
abyssalcraft:gatekeeperessence, entity.GatekeeperEssence.name, entity.GatekeeperEssence.name
abyssalcraft:evilsheep, entity.abyssalcraft.evilsheep.name, 羊
abyssalcraft:demonsheep, entity.abyssalcraft.demonsheep.name, 恶魔羊
abyssalcraft:coraliumsquid, entity.abyssalcraft.coraliumsquid.name, 被珊瑚侵染的鱿鱼
abyssalcraft:inkprojectile, entity.inkprojectile.name, entity.inkprojectile.name
abyssalcraft:dreadedcharge, entity.dreadedcharge.name, entity.dreadedcharge.name
abyssalcraft:acidprojectile, entity.acidprojectile.name, entity.acidprojectile.name
abyssalcraft:blackhole, entity.blackhole.name, entity.blackhole.name
abyssalcraft:implosion, entity.implosion.name, entity.implosion.name
abyssalcraft:shuboffspring, entity.abyssalcraft.shuboffspring.name, 黑暗幼崽
abyssalcraft:spirititem, entity.spirititem.name, entity.spirititem.name
aether:aechor_plant, entity.aether.aechor_plant.name, 箭毒花
aether:aerbunny, entity.aether.aerbunny.name, 天跃兔
aether:carrion_sprout, entity.aether.carrion_sprout.name, 食腐苗
aether:cockatrice, entity.aether.cockatrice.name, 鸡蛇
aether:kirrid, entity.aether.kirrid.name, 科里云羊
aether:aerwhale, entity.aether.aerwhale.name, 云鲸
aether:zephyr, entity.aether.zephyr.name, 西风啸云
aether:tempest, entity.aether.tempest.name, 风暴怒云
aether:swet, entity.aether.swet.name, 史维特
aether:taegore, entity.aether.taegore.name, 探戈野猪
aether:glitterwing, entity.aether.glitterwing.name, 闪光翼蝶
aether:edison, entity.aether.edison.name, 爱迪生
aether:burrukai, entity.aether.burrukai.name, 布鲁牦牛
aether:necromancer, entity.aether.necromancer.name, 巫魂
aether:josediya, entity.aether.josediya.name, 乔瑟迪娅
aether:tivalier, entity.aether.tivalier.name, 泰瓦尔
aether:glactrix, entity.aether.glactrix.name, 冰川刺猬
aether:mysterious_figure, entity.aether.mysterious_figure.name, 神秘人
aether:varanys, entity.aether.varanys.name, 冰穴巨蜥
aether:skyroot_lizard, entity.aether.skyroot_lizard.name, 天根树蜥
aether:sheepuff, entity.aether.sheepuff.name, 云跳羊
aether:frostpine_totem, entity.aether.frostpine_totem.name, 寒松图腾
aether:kraisith, entity.aether.kraisith.name, 克雷斯
aether:shade_of_arkenzus, entity.aether.shade_of_arkenzus.name, 阿肯祖斯之影
aether:ethereal_wisp, entity.aether.ethereal_wisp.name, 飘逸幻影
aether:fleeting_wisp, entity.aether.fleeting_wisp.name, 闪现幻影
aether:soaring_wisp, entity.aether.soaring_wisp.name, entity.aether.soaring_wisp.name
aether:fangrin, entity.aether.fangrin.name, 法格林
aether:nex_spirit, entity.aether.nex_spirit.name, 不死英灵
aether:pink_baby_swet, entity.aether.pink_baby_swet.name, 粉史维特宝宝
aether:floating_block, entity.aether.floating_block.name, entity.aether.floating_block.name
aether:moving_block, entity.aether.moving_block.name, entity.aether.moving_block.name
aether:dart, entity.aether.dart.name, entity.aether.dart.name
aether:daggerfrost_snowball, entity.aether.daggerfrost_snowball.name, entity.aether.daggerfrost_snowball.name
aether:bolt, entity.aether.bolt.name, entity.aether.bolt.name
aether:parachute, entity.aether.parachute.name, entity.aether.parachute.name
aether:tnt_present, entity.aether.tnt_present.name, entity.aether.tnt_present.name
aether:moa, entity.aether.moa.name, 恐鸟
betternether:firefly, entity.firefly.name, 萤火虫
clumps:xp_orb_big, entity.xp_orb_big.name, entity.xp_orb_big.name
thaumadditions:chester, entity.thaumadditions.chester.name, 箱子精
thaumadditions:essentia_shot, entity.thaumadditions.essentia_shot.name, entity.thaumadditions.essentia_shot.name
thaumadditions:blue_wolf, entity.thaumadditions.blue_wolf.name, 苍狼
thaumadditions:mithminite_scythe, entity.thaumadditions.mithminite_scythe.name, entity.thaumadditions.mithminite_scythe.name
thebetweenlands:dark_druid, entity.thebetweenlands.dark_druid.name, 黑暗德鲁伊
thebetweenlands:angler, entity.thebetweenlands.angler.name, 鮟鱇鱼
thebetweenlands:sludge, entity.thebetweenlands.sludge.name, 烂泥怪
thebetweenlands:swamp_hag, entity.thebetweenlands.swamp_hag.name, 沼泽怪
thebetweenlands:wight, entity.thebetweenlands.wight.name, 阴魂
thebetweenlands:firefly, entity.thebetweenlands.firefly.name, 萤火虫
thebetweenlands:sporeling, entity.thebetweenlands.sporeling.name, 蘑菇精灵
thebetweenlands:leech, entity.thebetweenlands.leech.name, 水蛭
thebetweenlands:dragonfly, entity.thebetweenlands.dragonfly.name, 蜻蜓
thebetweenlands:blood_snail, entity.thebetweenlands.blood_snail.name, 血腥蜗牛
thebetweenlands:mire_snail, entity.thebetweenlands.mire_snail.name, 泥潭蜗牛
thebetweenlands:mire_snail_egg, entity.thebetweenlands.mire_snail_egg.name, 泥潭蜗牛的蛋
thebetweenlands:bl_arrow, entity.thebetweenlands.bl_arrow.name, 箭
thebetweenlands:snail_poison_jet, entity.thebetweenlands.snail_poison_jet.name, 血蜗牛的毒液
thebetweenlands:lurker, entity.thebetweenlands.lurker.name, 潜尾鳄
thebetweenlands:gecko, entity.thebetweenlands.gecko.name, 壁虎
thebetweenlands:termite, entity.thebetweenlands.termite.name, 白蚁
thebetweenlands:toad, entity.thebetweenlands.toad.name, 五彩蟾蜍
thebetweenlands:blind_cave_fish, entity.thebetweenlands.blind_cave_fish.name, 洞穴盲鱼
thebetweenlands:chiromaw, entity.thebetweenlands.chiromaw.name, 翼手怪
thebetweenlands:frog, entity.thebetweenlands.frog.name, 青蛙
thebetweenlands:sword_energy, entity.thebetweenlands.sword_energy.name, 冲击波剑能量球
thebetweenlands:shockwave_sword_item, entity.thebetweenlands.shockwave_sword_item.name, entity.thebetweenlands.shockwave_sword_item.name
thebetweenlands:shockwave_block, entity.thebetweenlands.shockwave_block.name, 冲击波方块
thebetweenlands:gas_cloud, entity.thebetweenlands.gas_cloud.name, 沼泽之息
thebetweenlands:volatile_soul, entity.thebetweenlands.volatile_soul.name, 混乱之魂
thebetweenlands:tar_beast, entity.thebetweenlands.tar_beast.name, 焦油怪
thebetweenlands:silt_crab, entity.thebetweenlands.silt_crab.name, 泥蟹
thebetweenlands:pyrad, entity.thebetweenlands.pyrad.name, 烈焰树妖
thebetweenlands:pyrad_flame, entity.thebetweenlands.pyrad_flame.name, 树妖烈焰
thebetweenlands:peat_mummy, entity.thebetweenlands.peat_mummy.name, 泥炭木乃伊
thebetweenlands:tarminion, entity.thebetweenlands.tarminion.name, 焦油侍从
thebetweenlands:thrown_tarminion, entity.thebetweenlands.thrown_tarminion.name, 扔出来的焦油侍从
thebetweenlands:rope_node, entity.thebetweenlands.rope_node.name, entity.thebetweenlands.rope_node.name
thebetweenlands:grapping_hook_node, entity.thebetweenlands.grapping_hook_node.name, entity.thebetweenlands.grapping_hook_node.name
thebetweenlands:volarkite, entity.thebetweenlands.volarkite.name, entity.thebetweenlands.volarkite.name
thebetweenlands:mummy_arm, entity.thebetweenlands.mummy_arm.name, 木乃伊之爪
thebetweenlands:angry_pebble, entity.thebetweenlands.angry_pebble.name, 愤怒卵石
thebetweenlands:fortress_boss, entity.thebetweenlands.fortress_boss.name, 原始恶意
thebetweenlands:fortress_boss_spawner, entity.thebetweenlands.fortress_boss_spawner.name, 原始恶意召唤器
thebetweenlands:fortress_boss_blockade, entity.thebetweenlands.fortress_boss_blockade.name, 原始恶意屏障
thebetweenlands:fortress_boss_projectile, entity.thebetweenlands.fortress_boss_projectile.name, 原始恶意炮弹
thebetweenlands:fortress_boss_turret, entity.thebetweenlands.fortress_boss_turret.name, 原始恶意炮台
thebetweenlands:fortress_boss_teleporter, entity.thebetweenlands.fortress_boss_teleporter.name, 原始恶意传送器
thebetweenlands:weedwood_rowboat, entity.thebetweenlands.weedwood_rowboat.name, 杂草木船
thebetweenlands:bl_elexir, entity.thebetweenlands.bl_elexir.name, entity.thebetweenlands.bl_elexir.name
thebetweenlands:dreadful_mummy, entity.thebetweenlands.dreadful_mummy.name, 恐怖的泥炭木乃伊
thebetweenlands:sludge_ball, entity.thebetweenlands.sludge_ball.name, 泥浆球
thebetweenlands:spore_jet, entity.thebetweenlands.spore_jet.name, 孢子喷射器
thebetweenlands:smoll_sludge, entity.thebetweenlands.smoll_sludge.name, 迷你烂泥怪
thebetweenlands:greebling, entity.thebetweenlands.greebling.name, 地精矮人
thebetweenlands:boulder_sprite, entity.thebetweenlands.boulder_sprite.name, 巨石怪
thebetweenlands:spirit_tree_face_small, entity.thebetweenlands.spirit_tree_face_small.name, 小型灵魂树脸
thebetweenlands:spirit_tree_face_large, entity.thebetweenlands.spirit_tree_face_large.name, 大型灵魂树脸
thebetweenlands:tamed_spirit_tree_face, entity.thebetweenlands.tamed_spirit_tree_face.name, 驯服的灵魂树脸
thebetweenlands:sap_spit, entity.thebetweenlands.sap_spit.name, 凝胶液
thebetweenlands:spike_wave, entity.thebetweenlands.spike_wave.name, 根须冲击波
thebetweenlands:root_grabber, entity.thebetweenlands.root_grabber.name, 根须抓手
thebetweenlands:spirit_tree_face_mask, entity.thebetweenlands.spirit_tree_face_mask.name, 灵树面罩
thebetweenlands:root_sprite, entity.thebetweenlands.root_sprite.name, 根须精灵
thebetweenlands:predator_arrow_guide, entity.thebetweenlands.predator_arrow_guide.name, entity.thebetweenlands.predator_arrow_guide.name
thebetweenlands:small_sludge_worm, entity.thebetweenlands.small_sludge_worm.name, 小型烂泥蠕虫
thebetweenlands:tiny_sludge_worm, entity.thebetweenlands.tiny_sludge_worm.name, 微型烂泥蠕虫
thebetweenlands:large_sludge_worm, entity.thebetweenlands.large_sludge_worm.name, 大型烂泥蠕虫
thebetweenlands:tiny_worm_egg_sac, entity.thebetweenlands.tiny_worm_egg_sac.name, 烂泥蠕虫蛋囊
thebetweenlands:tiny_sludge_worm_helper, entity.thebetweenlands.tiny_sludge_worm_helper.name, 微型随从烂泥蠕虫
thebetweenlands:lurker_skin_raft, entity.thebetweenlands.lurker_skin_raft.name, 鳄皮筏子
thebetweenlands:shambler, entity.thebetweenlands.shambler.name, 蹒跚者
thebetweenlands:wall_lamprey, entity.thebetweenlands.wall_lamprey.name, 七鳃鳗
thebetweenlands:moving_spawner_hole, entity.thebetweenlands.moving_spawner_hole.name, 移动的刷怪洞
thebetweenlands:wall_living_root, entity.thebetweenlands.wall_living_root.name, 活根
thebetweenlands:crypt_crawler, entity.thebetweenlands.crypt_crawler.name, 地穴蠕行者
thebetweenlands:barrishee, entity.thebetweenlands.barrishee.name, 喷火魔兽
thebetweenlands:ash_sprite, entity.thebetweenlands.ash_sprite.name, 灰烬之魂
thebetweenlands:decay_pit_target, entity.thebetweenlands.decay_pit_target.name, 不是Boss
thebetweenlands:sludge_jet, entity.thebetweenlands.sludge_jet.name, 烂泥喷射器
thebetweenlands:triggered_falling_block, entity.thebetweenlands.triggered_falling_block.name, 坠落的方块
thebetweenlands:triggered_sludge_wall_jet, entity.thebetweenlands.triggered_sludge_wall_jet.name, 烂泥喷射炮塔
thebetweenlands:sludge_wall_jet, entity.thebetweenlands.sludge_wall_jet.name, 烂泥喷射器
thebetweenlands:splodeshroom, entity.thebetweenlands.splodeshroom.name, 爆炸蘑菇
thebetweenlands:cc_ground_spawner, entity.thebetweenlands.cc_ground_spawner.name, 地穴蠕行者隧道口
thebetweenlands:emberling_shaman, entity.thebetweenlands.emberling_shaman.name, 余烬萨满
thebetweenlands:flame_jet, entity.thebetweenlands.flame_jet.name, entity.thebetweenlands.flame_jet.name
thebetweenlands:moving_wall, entity.thebetweenlands.moving_wall.name, 移动的墙
thebetweenlands:emberling, entity.thebetweenlands.emberling.name, 余烬精灵
thebetweenlands:wild_emberling, entity.thebetweenlands.wild_emberling.name, 余烬
thebetweenlands:gallery_frame, entity.thebetweenlands.gallery_frame.name, entity.thebetweenlands.gallery_frame.name
thebetweenlands:sludge_menace, entity.thebetweenlands.sludge_menace.name, 污泥威胁
thebetweenlands:sludge_menace_multipart_dummy, entity.thebetweenlands.sludge_menace_multipart_dummy.name, 污泥威胁
thebetweenlands:shock, entity.thebetweenlands.shock.name, entity.thebetweenlands.shock.name
thebetweenlands:lightning, entity.thebetweenlands.lightning.name, entity.thebetweenlands.lightning.name
thebetweenlands:resurrection, entity.thebetweenlands.resurrection.name, entity.thebetweenlands.resurrection.name
thebetweenlands:false_xp, entity.thebetweenlands.false_xp.name, entity.thebetweenlands.false_xp.name
thebetweenlands:multipart_dummy, entity.thebetweenlands.multipart_dummy.name, entity.thebetweenlands.multipart_dummy.name
thebetweenlands:draeton, entity.thebetweenlands.draeton.name, 飞艇
thebetweenlands:draeton_dragonfly, entity.thebetweenlands.draeton_dragonfly.name, entity.thebetweenlands.draeton_dragonfly.name
thebetweenlands:draeton_firefly, entity.thebetweenlands.draeton_firefly.name, entity.thebetweenlands.draeton_firefly.name
thebetweenlands:draeton_chiromaw_tamed, entity.thebetweenlands.draeton_chiromaw_tamed.name, entity.thebetweenlands.draeton_chiromaw_tamed.name
thebetweenlands:chiromaw_greebling_rider, entity.thebetweenlands.chiromaw_greebling_rider.name, 地精翼手怪骑士
thebetweenlands:greebling_volarpad_floater, entity.thebetweenlands.greebling_volarpad_floater.name, 伞莲飘降地精
thebetweenlands:betweenstone_pebble, entity.thebetweenlands.betweenstone_pebble.name, 交错石子
thebetweenlands:worm_ground_spawner, entity.thebetweenlands.worm_ground_spawner.name, 蠕虫隧道口
thebetweenlands:chiromaw_matriarch, entity.thebetweenlands.chiromaw_matriarch.name, 翼手女王
thebetweenlands:chiromaw_droppings, entity.thebetweenlands.chiromaw_droppings.name, 翼手怪粪便
thebetweenlands:chiromaw_hatchling, entity.thebetweenlands.chiromaw_hatchling.name, 翼手怪的卵
thebetweenlands:chiromaw_tame, entity.thebetweenlands.chiromaw_tame.name, 驯服的翼手怪
thebetweenlands:greebling_corpse, entity.thebetweenlands.greebling_corpse.name, 地精尸体
thebetweenlands:stalker, entity.thebetweenlands.stalker.name, 尾行者
thebetweenlands:swarm, entity.thebetweenlands.swarm.name, 虫群
netherendingores:netherfish, entity.netherfish.name, Netherfish
netherendingores:primedore, entity.primedOre.name, entity.primedOre.name
thaumcraft:cultistportalgreater, entity.CultistPortalGreater.name, 巨型血腥传送门
thaumcraft:cultistportallesser, entity.CultistPortalLesser.name, 小型血腥传送门
thaumcraft:fluxrift, entity.FluxRift.name, 咒波裂隙
thaumcraft:specialitem, entity.SpecialItem.name, 魔力物品
thaumcraft:followitem, entity.FollowItem.name, 跟随物品
thaumcraft:fallingtaint, entity.FallingTaint.name, 腐化泥土
thaumcraft:alumentum, entity.Alumentum.name, 源动之焰
thaumcraft:golemdart, entity.GolemDart.name, 傀儡飞镖
thaumcraft:eldritchorb, entity.EldritchOrb.name, 邪术球
thaumcraft:bottletaint, entity.BottleTaint.name, 腐化瓶
thaumcraft:golemorb, entity.GolemOrb.name, 能量球
thaumcraft:grapple, entity.Grapple.name, entity.Grapple.name
thaumcraft:causalitycollapser, entity.CausalityCollapser.name, entity.CausalityCollapser.name
thaumcraft:focusprojectile, entity.FocusProjectile.name, 核心投掷物
thaumcraft:focuscloud, entity.FocusCloud.name, 核心云雾
thaumcraft:focusmine, entity.Focusmine.name, entity.Focusmine.name
thaumcraft:turretbasic, entity.TurretBasic.name, 自动十字弩
thaumcraft:turretadvanced, entity.TurretAdvanced.name, 高级自动弩
thaumcraft:arcanebore, entity.ArcaneBore.name, 奥术钻探机
thaumcraft:golem, entity.Golem.name, 傀儡
thaumcraft:eldritchwarden, entity.EldritchWarden.name, 邪术典狱官
thaumcraft:eldritchgolem, entity.EldritchGolem.name, 邪术构装体
thaumcraft:cultistleader, entity.CultistLeader.name, 血腥主教
thaumcraft:taintaclegiant, entity.TaintacleGiant.name, 巨型腐化触手
thaumcraft:brainyzombie, entity.BrainyZombie.name, 红眼僵尸
thaumcraft:giantbrainyzombie, entity.GiantBrainyZombie.name, 红眼僵尸巨人
thaumcraft:wisp, entity.Wisp.name, 精灵
thaumcraft:firebat, entity.Firebat.name, 九狱焱蝠
thaumcraft:spellbat, entity.Spellbat.name, 巫蝠
thaumcraft:pech, entity.Pech.name, 岩精强盗
thaumcraft:mindspider, entity.MindSpider.name, 心魔蜘蛛
thaumcraft:eldritchguardian, entity.EldritchGuardian.name, 邪术守卫
thaumcraft:cultistknight, entity.CultistKnight.name, 血腥骑士
thaumcraft:cultistcleric, entity.CultistCleric.name, 血腥教徒
thaumcraft:eldritchcrab, entity.EldritchCrab.name, 邪术爪牙
thaumcraft:inhabitedzombie, entity.InhabitedZombie.name, 行尸走肉
thaumcraft:thaumslime, entity.ThaumSlime.name, 神秘史莱姆
thaumcraft:taintcrawler, entity.TaintCrawler.name, 腐化魔蛛
thaumcraft:taintacle, entity.Taintacle.name, 腐化触手怪
thaumcraft:taintacletiny, entity.TaintacleTiny.name, 腐化触手
thaumcraft:taintswarm, entity.TaintSwarm.name, 腐化孢子群
thaumcraft:taintseed, entity.TaintSeed.name, 腐化孢子
thaumcraft:taintseedprime, entity.TaintSeedPrime.name, 腐化孢子巢穴
bloodmagic:blood_light, entity.blood_light.name, entity.blood_light.name
bloodmagic:soul_snare, entity.soul_snare.name, entity.soul_snare.name
bloodmagic:soul_arrow, entity.sentient_arrow.name, entity.sentient_arrow.name
bloodmagic:meteor, entity.meteor.name, entity.meteor.name
bloodmagic:sentient_specter, entity.sentient_specter.name, entity.sentient_specter.name
bloodmagic:mimic, entity.mimic.name, 拟箱怪
bloodmagic:corrupted_zombie, entity.corrupted_zombie.name, entity.corrupted_zombie.name
bloodmagic:corrupted_sheep, entity.corrupted_sheep.name, entity.corrupted_sheep.name
bloodmagic:corrupted_chicken, entity.corrupted_chicken.name, entity.corrupted_chicken.name
bloodmagic:corrupted_spider, entity.corrupted_spider.name, entity.corrupted_spider.name
champions:entity_jail, entity.champions.entity_jail.name, entity.champions.entity_jail.name
champions:arctic_spark, entity.champions.arctic_spark.name, entity.champions.arctic_spark.name
champions:cinder_spark, entity.champions.cinder_spark.name, entity.champions.cinder_spark.name
grimoireofgaia:gorgon, entity.grimoireofgaia.gorgon.name, Gorgon
grimoireofgaia:creeper_girl, entity.grimoireofgaia.creeper_girl.name, 苦力怕娘
grimoireofgaia:slime_girl, entity.grimoireofgaia.slime_girl.name, 史莱姆娘
grimoireofgaia:ender_girl, entity.grimoireofgaia.ender_girl.name, 末影娘
grimoireofgaia:trader, entity.grimoireofgaia.trader.name, 商人
grimoireofgaia:holstaurus, entity.grimoireofgaia.holstaurus.name, 荷斯陶诺斯
grimoireofgaia:weresheep, entity.grimoireofgaia.weresheep.name, 薇尔羊
grimoireofgaia:mandragora, entity.grimoireofgaia.mandragora.name, 曼陀罗精
grimoireofgaia:mimic, entity.grimoireofgaia.mimic.name, 模仿者
grimoireofgaia:spawner_beholder, entity.grimoireofgaia.spawner_beholder.name, entity.grimoireofgaia.spawner_beholder.name
grimoireofgaia:spawner_ender_dragon_girl, entity.grimoireofgaia.spawner_ender_dragon_girl.name, entity.grimoireofgaia.spawner_ender_dragon_girl.name
