UniqueName, UnlocalizedName, LocalizedName, Metadata
minecraft:stone_slab, tile.stoneSlab.sand.name, 砂岩台阶, 1
minecraft:stone_slab, tile.stoneSlab.cobble.name, 圆石台阶, 3
minecraft:stone_slab, tile.stoneSlab.brick.name, 砖台阶, 4
minecraft:stone_slab, tile.stoneSlab.smoothStoneBrick.name, 石砖台阶, 5
minecraft:stone_slab, tile.stoneSlab.netherBrick.name, 地狱砖台阶, 6
minecraft:stone_slab, tile.stoneSlab.quartz.name, 石英台阶, 7
minecraft:brick_block, tile.brick.name, 砖块, 0
minecraft:tnt, tile.tnt.name, TNT, 0
minecraft:bookshelf, tile.bookshelf.name, 书架, 0
minecraft:mossy_cobblestone, tile.stoneMoss.name, 苔石, 0
minecraft:obsidian, tile.obsidian.name, 黑曜石, 0
minecraft:torch, tile.torch.name, 火把, 0
minecraft:oak_stairs, tile.stairsWood.name, 橡木楼梯, 0
minecraft:chest, tile.chest.name, 箱子, 0
minecraft:diamond_ore, tile.oreDiamond.name, 钻石矿石, 0
minecraft:diamond_block, tile.blockDiamond.name, 钻石块, 0
minecraft:crafting_table, tile.workbench.name, 工作台, 0
minecraft:furnace, tile.furnace.name, 熔炉, 0
minecraft:ladder, tile.ladder.name, 梯子, 0
minecraft:rail, tile.rail.name, 铁轨, 0
minecraft:stone_stairs, tile.stairsStone.name, 圆石楼梯, 0
minecraft:lever, tile.lever.name, 拉杆, 0
minecraft:stone_pressure_plate, tile.pressurePlateStone.name, 石质压力板, 0
minecraft:wooden_pressure_plate, tile.pressurePlateWood.name, 木质压力板, 0
minecraft:redstone_ore, tile.oreRedstone.name, 红石矿石, 0
minecraft:redstone_torch, tile.notGate.name, 红石火把, 0
minecraft:stone_button, tile.button.name, 按钮, 0
minecraft:snow_layer, tile.snow.name, 雪, 0
minecraft:ice, tile.ice.name, 冰, 0
minecraft:snow, tile.snow.name, 雪, 0
minecraft:cactus, tile.cactus.name, 仙人掌, 0
minecraft:clay, tile.clay.name, 粘土块, 0
minecraft:jukebox, tile.jukebox.name, 唱片机, 0
minecraft:fence, tile.fence.name, 橡木栅栏, 0
minecraft:pumpkin, tile.pumpkin.name, 南瓜, 0
minecraft:netherrack, tile.hellrock.name, 地狱岩, 0
minecraft:soul_sand, tile.hellsand.name, 灵魂沙, 0
minecraft:glowstone, tile.lightgem.name, 荧石, 0
minecraft:lit_pumpkin, tile.litpumpkin.name, 南瓜灯, 0
minecraft:stained_glass, tile.stainedGlass.white.name, 白色染色玻璃, 0
minecraft:stained_glass, tile.stainedGlass.orange.name, 橙色染色玻璃, 1
minecraft:stained_glass, tile.stainedGlass.magenta.name, 品红色染色玻璃, 2
minecraft:stained_glass, tile.stainedGlass.lightBlue.name, 淡蓝色染色玻璃, 3
minecraft:stained_glass, tile.stainedGlass.yellow.name, 黄色染色玻璃, 4
minecraft:stained_glass, tile.stainedGlass.lime.name, 黄绿色染色玻璃, 5
minecraft:stained_glass, tile.stainedGlass.pink.name, 粉红色染色玻璃, 6
minecraft:stained_glass, tile.stainedGlass.gray.name, 灰色染色玻璃, 7
minecraft:stained_glass, tile.stainedGlass.silver.name, 淡灰色染色玻璃, 8
minecraft:stained_glass, tile.stainedGlass.cyan.name, 青色染色玻璃, 9
minecraft:stained_glass, tile.stainedGlass.purple.name, 紫色染色玻璃, 10
minecraft:stained_glass, tile.stainedGlass.blue.name, 蓝色染色玻璃, 11
minecraft:stained_glass, tile.stainedGlass.brown.name, 棕色染色玻璃, 12
minecraft:stained_glass, tile.stainedGlass.green.name, 绿色染色玻璃, 13
minecraft:stained_glass, tile.stainedGlass.red.name, 红色染色玻璃, 14
minecraft:stained_glass, tile.stainedGlass.black.name, 黑色染色玻璃, 15
minecraft:trapdoor, tile.trapdoor.name, 活板门, 0
minecraft:monster_egg, tile.monsterStoneEgg.stone.name, 石头怪物蛋, 0
minecraft:monster_egg, tile.monsterStoneEgg.cobble.name, 圆石怪物蛋, 1
minecraft:monster_egg, tile.monsterStoneEgg.brick.name, 石砖怪物蛋, 2
minecraft:monster_egg, tile.monsterStoneEgg.mossybrick.name, 苔石砖怪物蛋, 3
minecraft:monster_egg, tile.monsterStoneEgg.crackedbrick.name, 裂石砖怪物蛋, 4
minecraft:monster_egg, tile.monsterStoneEgg.chiseledbrick.name, 錾制石砖怪物蛋, 5
minecraft:stonebrick, tile.stonebricksmooth.default.name, 石砖, 0
minecraft:stonebrick, tile.stonebricksmooth.mossy.name, 苔石砖, 1
minecraft:stonebrick, tile.stonebricksmooth.cracked.name, 裂石砖, 2
minecraft:stonebrick, tile.stonebricksmooth.chiseled.name, 錾制石砖, 3
minecraft:iron_bars, tile.fenceIron.name, 铁栏杆, 0
minecraft:glass_pane, tile.thinGlass.name, 玻璃板, 0
minecraft:melon_block, tile.melon.name, 西瓜, 0
minecraft:vine, tile.vine.name, 藤蔓, 0
minecraft:fence_gate, tile.fenceGate.name, 橡木栅栏门, 0
minecraft:brick_stairs, tile.stairsBrick.name, 砖楼梯, 0
minecraft:stone_brick_stairs, tile.stairsStoneBrickSmooth.name, 石砖楼梯, 0
minecraft:mycelium, tile.mycel.name, 菌丝, 0
minecraft:waterlily, tile.waterlily.name, 睡莲, 0
minecraft:nether_brick, tile.netherBrick.name, 地狱砖, 0
minecraft:nether_brick_fence, tile.netherFence.name, 地狱砖栅栏, 0
minecraft:nether_brick_stairs, tile.stairsNetherBrick.name, 地狱砖楼梯, 0
minecraft:enchanting_table, tile.enchantmentTable.name, 附魔台, 0
minecraft:end_portal_frame, tile.endPortalFrame.name, 末地传送门, 0
minecraft:end_stone, tile.whiteStone.name, 末地石, 0
minecraft:redstone_lamp, tile.redstoneLight.name, 红石灯, 0
minecraft:wooden_slab, tile.woodSlab.oak.name, 橡木台阶, 0
minecraft:wooden_slab, tile.woodSlab.spruce.name, 云杉木台阶, 1
minecraft:wooden_slab, tile.woodSlab.birch.name, 桦木台阶, 2
minecraft:wooden_slab, tile.woodSlab.jungle.name, 丛林木台阶, 3
minecraft:wooden_slab, tile.woodSlab.acacia.name, 金合欢木台阶, 4
minecraft:wooden_slab, tile.woodSlab.big_oak.name, 深色橡木台阶, 5
minecraft:sandstone_stairs, tile.stairsSandStone.name, 砂岩楼梯, 0
minecraft:emerald_ore, tile.oreEmerald.name, 绿宝石矿石, 0
minecraft:ender_chest, tile.enderChest.name, 末影箱, 0
minecraft:tripwire_hook, tile.tripWireSource.name, 绊线钩, 0
minecraft:emerald_block, tile.blockEmerald.name, 绿宝石块, 0
minecraft:spruce_stairs, tile.stairsWoodSpruce.name, 云杉木楼梯, 0
minecraft:birch_stairs, tile.stairsWoodBirch.name, 桦木楼梯, 0
minecraft:jungle_stairs, tile.stairsWoodJungle.name, 丛林木楼梯, 0
minecraft:beacon, tile.beacon.name, 信标, 0
minecraft:cobblestone_wall, tile.cobbleWall.normal.name, 圆石墙, 0
minecraft:cobblestone_wall, tile.cobbleWall.mossy.name, 苔石墙, 1
minecraft:wooden_button, tile.button.name, 按钮, 0
minecraft:anvil, tile.anvil.intact.name, 铁砧, 0
minecraft:anvil, tile.anvil.slightlyDamaged.name, 轻微损坏的铁砧, 1
minecraft:anvil, tile.anvil.veryDamaged.name, 严重损坏的铁砧, 2
minecraft:trapped_chest, tile.chestTrap.name, 陷阱箱, 0
minecraft:light_weighted_pressure_plate, tile.weightedPlate_light.name, 测重压力板（轻质）, 0
minecraft:heavy_weighted_pressure_plate, tile.weightedPlate_heavy.name, 测重压力板（重质）, 0
minecraft:daylight_detector, tile.daylightDetector.name, 阳光传感器, 0
minecraft:redstone_block, tile.blockRedstone.name, 红石块, 0
minecraft:quartz_ore, tile.netherquartz.name, 下界石英矿石, 0
minecraft:hopper, tile.hopper.name, 漏斗, 0
minecraft:quartz_block, tile.quartzBlock.default.name, 石英块, 0
minecraft:quartz_block, tile.quartzBlock.chiseled.name, 錾制石英块, 1
minecraft:quartz_block, tile.quartzBlock.lines.name, 竖纹石英块, 2
minecraft:quartz_stairs, tile.stairsQuartz.name, 石英楼梯, 0
minecraft:activator_rail, tile.activatorRail.name, 激活铁轨, 0
minecraft:dropper, tile.dropper.name, 投掷器, 0
minecraft:stained_hardened_clay, tile.clayHardenedStained.white.name, 白色陶瓦, 0
minecraft:stained_hardened_clay, tile.clayHardenedStained.orange.name, 橙色陶瓦, 1
minecraft:stained_hardened_clay, tile.clayHardenedStained.magenta.name, 品红色陶瓦, 2
minecraft:stained_hardened_clay, tile.clayHardenedStained.lightBlue.name, 淡蓝色陶瓦, 3
minecraft:stained_hardened_clay, tile.clayHardenedStained.yellow.name, 黄色陶瓦, 4
minecraft:stained_hardened_clay, tile.clayHardenedStained.lime.name, 黄绿色陶瓦, 5
minecraft:stained_hardened_clay, tile.clayHardenedStained.pink.name, 粉红色陶瓦, 6
minecraft:stained_hardened_clay, tile.clayHardenedStained.gray.name, 灰色陶瓦, 7
minecraft:stained_hardened_clay, tile.clayHardenedStained.silver.name, 淡灰色陶瓦, 8
minecraft:stained_hardened_clay, tile.clayHardenedStained.cyan.name, 青色陶瓦, 9
minecraft:stained_hardened_clay, tile.clayHardenedStained.purple.name, 紫色陶瓦, 10
minecraft:stained_hardened_clay, tile.clayHardenedStained.blue.name, 蓝色陶瓦, 11
minecraft:stained_hardened_clay, tile.clayHardenedStained.brown.name, 棕色陶瓦, 12
minecraft:stained_hardened_clay, tile.clayHardenedStained.green.name, 绿色陶瓦, 13
minecraft:stained_hardened_clay, tile.clayHardenedStained.red.name, 红色陶瓦, 14
minecraft:stained_hardened_clay, tile.clayHardenedStained.black.name, 黑色陶瓦, 15
minecraft:stained_glass_pane, tile.thinStainedGlass.white.name, 白色染色玻璃板, 0
minecraft:stained_glass_pane, tile.thinStainedGlass.orange.name, 橙色染色玻璃板, 1
minecraft:stained_glass_pane, tile.thinStainedGlass.magenta.name, 品红色染色玻璃板, 2
minecraft:stained_glass_pane, tile.thinStainedGlass.lightBlue.name, 淡蓝色染色玻璃板, 3
minecraft:stained_glass_pane, tile.thinStainedGlass.yellow.name, 黄色染色玻璃板, 4
minecraft:stained_glass_pane, tile.thinStainedGlass.lime.name, 黄绿色染色玻璃板, 5
minecraft:stained_glass_pane, tile.thinStainedGlass.pink.name, 粉红色染色玻璃板, 6
minecraft:stained_glass_pane, tile.thinStainedGlass.gray.name, 灰色染色玻璃板, 7
minecraft:stained_glass_pane, tile.thinStainedGlass.silver.name, 淡灰色染色玻璃板, 8
minecraft:stained_glass_pane, tile.thinStainedGlass.cyan.name, 青色染色玻璃板, 9
minecraft:stained_glass_pane, tile.thinStainedGlass.purple.name, 紫色染色玻璃板, 10
minecraft:stained_glass_pane, tile.thinStainedGlass.blue.name, 蓝色染色玻璃板, 11
minecraft:stained_glass_pane, tile.thinStainedGlass.brown.name, 棕色染色玻璃板, 12
minecraft:stained_glass_pane, tile.thinStainedGlass.green.name, 绿色染色玻璃板, 13
minecraft:stained_glass_pane, tile.thinStainedGlass.red.name, 红色染色玻璃板, 14
minecraft:stained_glass_pane, tile.thinStainedGlass.black.name, 黑色染色玻璃板, 15
minecraft:leaves2, tile.leaves.acacia.name, 金合欢树叶, 0
minecraft:leaves2, tile.leaves.big_oak.name, 深色橡树树叶, 1
minecraft:log2, tile.log.acacia.name, 金合欢木, 0
minecraft:log2, tile.log.big_oak.name, 深色橡木, 1
minecraft:acacia_stairs, tile.stairsWoodAcacia.name, 金合欢木楼梯, 0
minecraft:dark_oak_stairs, tile.stairsWoodDarkOak.name, 深色橡木楼梯, 0
minecraft:slime, tile.slime.name, 粘液块, 0
minecraft:iron_trapdoor, tile.ironTrapdoor.name, 铁活板门, 0
minecraft:prismarine, tile.prismarine.rough.name, 海晶石, 0
minecraft:prismarine, tile.prismarine.bricks.name, 海晶石砖, 1
minecraft:prismarine, tile.prismarine.dark.name, 暗海晶石, 2
minecraft:sea_lantern, tile.seaLantern.name, 海晶灯, 0
minecraft:hay_block, tile.hayBlock.name, 干草块, 0
minecraft:carpet, tile.woolCarpet.white.name, 白色地毯, 0
minecraft:carpet, tile.woolCarpet.orange.name, 橙色地毯, 1
minecraft:carpet, tile.woolCarpet.magenta.name, 品红色地毯, 2
minecraft:carpet, tile.woolCarpet.lightBlue.name, 淡蓝色地毯, 3
minecraft:carpet, tile.woolCarpet.yellow.name, 黄色地毯, 4
minecraft:carpet, tile.woolCarpet.lime.name, 黄绿色地毯, 5
minecraft:carpet, tile.woolCarpet.pink.name, 粉红色地毯, 6
minecraft:carpet, tile.woolCarpet.gray.name, 灰色地毯, 7
minecraft:carpet, tile.woolCarpet.silver.name, 淡灰色地毯, 8
minecraft:carpet, tile.woolCarpet.cyan.name, 青色地毯, 9
minecraft:carpet, tile.woolCarpet.purple.name, 紫色地毯, 10
minecraft:carpet, tile.woolCarpet.blue.name, 蓝色地毯, 11
minecraft:carpet, tile.woolCarpet.brown.name, 棕色地毯, 12
minecraft:carpet, tile.woolCarpet.green.name, 绿色地毯, 13
minecraft:carpet, tile.woolCarpet.red.name, 红色地毯, 14
minecraft:carpet, tile.woolCarpet.black.name, 黑色地毯, 15
minecraft:hardened_clay, tile.clayHardened.name, 陶瓦, 0
minecraft:coal_block, tile.blockCoal.name, 煤炭块, 0
minecraft:packed_ice, tile.icePacked.name, 浮冰, 0
minecraft:double_plant, tile.doublePlant.sunflower.name, 向日葵, 0
minecraft:double_plant, tile.doublePlant.syringa.name, 丁香, 1
minecraft:double_plant, tile.doublePlant.grass.name, 高草丛, 2
minecraft:double_plant, tile.doublePlant.fern.name, 大型蕨, 3
minecraft:double_plant, tile.doublePlant.rose.name, 玫瑰丛, 4
minecraft:double_plant, tile.doublePlant.paeonia.name, 牡丹, 5
minecraft:red_sandstone, tile.redSandStone.default.name, 红砂岩, 0
minecraft:red_sandstone, tile.redSandStone.chiseled.name, 錾制红砂岩, 1
minecraft:red_sandstone, tile.redSandStone.smooth.name, 平滑红砂岩, 2
minecraft:red_sandstone_stairs, tile.stairsRedSandStone.name, 红砂岩楼梯, 0
minecraft:stone_slab2, tile.stoneSlab2.red_sandstone.name, 红砂岩台阶, 0
minecraft:spruce_fence_gate, tile.spruceFenceGate.name, 云杉木栅栏门, 0
minecraft:birch_fence_gate, tile.birchFenceGate.name, 白桦木栅栏门, 0
minecraft:jungle_fence_gate, tile.jungleFenceGate.name, 丛林木栅栏门, 0
minecraft:dark_oak_fence_gate, tile.darkOakFenceGate.name, 深色橡木栅栏门, 0
minecraft:acacia_fence_gate, tile.acaciaFenceGate.name, 金合欢栅栏门, 0
minecraft:spruce_fence, tile.spruceFence.name, 云杉木栅栏, 0
minecraft:birch_fence, tile.birchFence.name, 白桦木栅栏, 0
minecraft:jungle_fence, tile.jungleFence.name, 丛林木栅栏, 0
minecraft:dark_oak_fence, tile.darkOakFence.name, 深色橡木栅栏, 0
minecraft:acacia_fence, tile.acaciaFence.name, 金合欢栅栏, 0
minecraft:end_rod, tile.endRod.name, 末地烛, 0
minecraft:chorus_plant, tile.chorusPlant.name, 紫颂植物, 0
minecraft:chorus_flower, tile.chorusFlower.name, 紫颂花, 0
minecraft:purpur_block, tile.purpurBlock.name, 紫珀块, 0
minecraft:purpur_pillar, tile.purpurPillar.name, 竖纹紫珀块, 0
minecraft:purpur_stairs, tile.stairsPurpur.name, 紫珀楼梯, 0
minecraft:purpur_slab, tile.purpurSlab.name, 紫珀台阶, 0
minecraft:end_bricks, tile.endBricks.name, 末地石砖, 0
minecraft:magma, tile.magma.name, 岩浆块, 0
minecraft:nether_wart_block, tile.netherWartBlock.name, 地狱疣块, 0
minecraft:red_nether_brick, tile.redNetherBrick.name, 红色地狱砖, 0
minecraft:bone_block, tile.boneBlock.name, 骨块, 0
minecraft:observer, tile.observer.name, 侦测器, 0
minecraft:white_shulker_box, tile.shulkerBoxWhite.name, 白色潜影盒, 0
minecraft:orange_shulker_box, tile.shulkerBoxOrange.name, 橙色潜影盒, 0
minecraft:magenta_shulker_box, tile.shulkerBoxMagenta.name, 品红色潜影盒, 0
minecraft:light_blue_shulker_box, tile.shulkerBoxLightBlue.name, 淡蓝色潜影盒, 0
minecraft:yellow_shulker_box, tile.shulkerBoxYellow.name, 黄色潜影盒, 0
minecraft:lime_shulker_box, tile.shulkerBoxLime.name, 黄绿色潜影盒, 0
minecraft:pink_shulker_box, tile.shulkerBoxPink.name, 粉红色潜影盒, 0
minecraft:gray_shulker_box, tile.shulkerBoxGray.name, 灰色潜影盒, 0
minecraft:silver_shulker_box, tile.shulkerBoxSilver.name, 淡灰色潜影盒, 0
minecraft:cyan_shulker_box, tile.shulkerBoxCyan.name, 青色潜影盒, 0
minecraft:purple_shulker_box, tile.shulkerBoxPurple.name, 紫色潜影盒, 0
minecraft:blue_shulker_box, tile.shulkerBoxBlue.name, 蓝色潜影盒, 0
minecraft:brown_shulker_box, tile.shulkerBoxBrown.name, 棕色潜影盒, 0
minecraft:green_shulker_box, tile.shulkerBoxGreen.name, 绿色潜影盒, 0
minecraft:red_shulker_box, tile.shulkerBoxRed.name, 红色潜影盒, 0
minecraft:black_shulker_box, tile.shulkerBoxBlack.name, 黑色潜影盒, 0
minecraft:white_glazed_terracotta, tile.glazedTerracottaWhite.name, 白色带釉陶瓦, 0
minecraft:orange_glazed_terracotta, tile.glazedTerracottaOrange.name, 橙色带釉陶瓦, 0
minecraft:magenta_glazed_terracotta, tile.glazedTerracottaMagenta.name, 品红色带釉陶瓦, 0
minecraft:light_blue_glazed_terracotta, tile.glazedTerracottaLightBlue.name, 淡蓝色带釉陶瓦, 0
minecraft:yellow_glazed_terracotta, tile.glazedTerracottaYellow.name, 黄色带釉陶瓦, 0
minecraft:lime_glazed_terracotta, tile.glazedTerracottaLime.name, 黄绿色带釉陶瓦, 0
minecraft:pink_glazed_terracotta, tile.glazedTerracottaPink.name, 粉红色带釉陶瓦, 0
minecraft:gray_glazed_terracotta, tile.glazedTerracottaGray.name, 灰色带釉陶瓦, 0
minecraft:silver_glazed_terracotta, tile.glazedTerracottaSilver.name, 淡灰色带釉陶瓦, 0
minecraft:cyan_glazed_terracotta, tile.glazedTerracottaCyan.name, 青色带釉陶瓦, 0
minecraft:purple_glazed_terracotta, tile.glazedTerracottaPurple.name, 紫色带釉陶瓦, 0
minecraft:blue_glazed_terracotta, tile.glazedTerracottaBlue.name, 蓝色带釉陶瓦, 0
minecraft:brown_glazed_terracotta, tile.glazedTerracottaBrown.name, 棕色带釉陶瓦, 0
minecraft:green_glazed_terracotta, tile.glazedTerracottaGreen.name, 绿色带釉陶瓦, 0
minecraft:red_glazed_terracotta, tile.glazedTerracottaRed.name, 红色带釉陶瓦, 0
minecraft:black_glazed_terracotta, tile.glazedTerracottaBlack.name, 黑色带釉陶瓦, 0
minecraft:concrete, tile.concrete.white.name, 白色混凝土, 0
minecraft:concrete, tile.concrete.orange.name, 橙色混凝土, 1
minecraft:concrete, tile.concrete.magenta.name, 品红色混凝土, 2
minecraft:concrete, tile.concrete.lightBlue.name, 淡蓝色混凝土, 3
minecraft:concrete, tile.concrete.yellow.name, 黄色混凝土, 4
minecraft:concrete, tile.concrete.lime.name, 黄绿色混凝土, 5
minecraft:concrete, tile.concrete.pink.name, 粉红色混凝土, 6
minecraft:concrete, tile.concrete.gray.name, 灰色混凝土, 7
minecraft:concrete, tile.concrete.silver.name, 淡灰色混凝土, 8
minecraft:concrete, tile.concrete.cyan.name, 青色混凝土, 9
minecraft:concrete, tile.concrete.purple.name, 紫色混凝土, 10
minecraft:concrete, tile.concrete.blue.name, 蓝色混凝土, 11
minecraft:concrete, tile.concrete.brown.name, 棕色混凝土, 12
minecraft:concrete, tile.concrete.green.name, 绿色混凝土, 13
minecraft:concrete, tile.concrete.red.name, 红色混凝土, 14
minecraft:concrete, tile.concrete.black.name, 黑色混凝土, 15
minecraft:concrete_powder, tile.concretePowder.white.name, 白色混凝土粉末, 0
minecraft:concrete_powder, tile.concretePowder.orange.name, 橙色混凝土粉末, 1
minecraft:concrete_powder, tile.concretePowder.magenta.name, 品红色混凝土粉末, 2
minecraft:concrete_powder, tile.concretePowder.lightBlue.name, 淡蓝色混凝土粉末, 3
minecraft:concrete_powder, tile.concretePowder.yellow.name, 黄色混凝土粉末, 4
minecraft:concrete_powder, tile.concretePowder.lime.name, 黄绿色混凝土粉末, 5
minecraft:concrete_powder, tile.concretePowder.pink.name, 粉红色混凝土粉末, 6
minecraft:concrete_powder, tile.concretePowder.gray.name, 灰色混凝土粉末, 7
minecraft:concrete_powder, tile.concretePowder.silver.name, 淡灰色混凝土粉末, 8
minecraft:concrete_powder, tile.concretePowder.cyan.name, 青色混凝土粉末, 9
minecraft:concrete_powder, tile.concretePowder.purple.name, 紫色混凝土粉末, 10
minecraft:concrete_powder, tile.concretePowder.blue.name, 蓝色混凝土粉末, 11
minecraft:concrete_powder, tile.concretePowder.brown.name, 棕色混凝土粉末, 12
minecraft:concrete_powder, tile.concretePowder.green.name, 绿色混凝土粉末, 13
minecraft:concrete_powder, tile.concretePowder.red.name, 红色混凝土粉末, 14
minecraft:concrete_powder, tile.concretePowder.black.name, 黑色混凝土粉末, 15
minecraft:iron_shovel, item.shovelIron.name, 铁锹, 0
minecraft:iron_pickaxe, item.pickaxeIron.name, 铁镐, 0
minecraft:iron_axe, item.hatchetIron.name, 铁斧, 0
minecraft:flint_and_steel, item.flintAndSteel.name, 打火石, 0
minecraft:apple, item.minecraft:apple.name, 苹果, 0
minecraft:bow, item.bow.name, 弓, 0
minecraft:arrow, item.arrow.name, 箭, 0
minecraft:coal, item.coal.name, 煤炭, 0
minecraft:coal, item.charcoal.name, 木炭, 1
minecraft:diamond, item.diamond.name, 钻石, 0
minecraft:iron_ingot, item.ingotIron.name, 铁锭, 0
minecraft:gold_ingot, item.ingotGold.name, 金锭, 0
minecraft:iron_sword, item.swordIron.name, 铁剑, 0
minecraft:wooden_sword, item.swordWood.name, 木剑, 0
minecraft:wooden_shovel, item.shovelWood.name, 木锹, 0
minecraft:wooden_pickaxe, item.pickaxeWood.name, 木镐, 0
minecraft:wooden_axe, item.hatchetWood.name, 木斧, 0
minecraft:stone_sword, item.swordStone.name, 石剑, 0
minecraft:stone_shovel, item.shovelStone.name, 石锹, 0
